CLASE DE EQUIPO;ESTADO DEL EQUIPO;MARCA;MODELO;SERIAL DEL EQUIPO;MEMORIA RAM;DISCO DURO;SERIAL MONITOR;SERIAL MOUSE;NOMBRE ACTUAL DEL EQUIPO;NOMBRE NUEVO DEL EQUIPO
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL2050N0W;4 GB;1 TB;CN420503HF;NO LEGIBLE;CL1304ACUHIVAL;CL1304ACUHIVAL
PC PORTATIL;EN USO;HP;HP ELITEBOOK 820 G4;5CG7503G8F;12 GB;1 TB;N/A;N/A;COD02ADMJDMARI;COD02ACUJDMANP1
PC PORTATIL;EN USO;HP;HP ELITEBOOK 820 G3;5CG6495ZB7;8 GB;1 TB;N/A;N/A;BOU09ENEJISOSP1;DIE02ENEJISOSP1
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL1350CH4;4 GB;500 GB;3CQ04809JD;NO LEGIBLE;BOU09ENEDIMONTE;DIE02ENEDIMONTE
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL1380LZ1;4 GB;500 GB;CN414413XO;SIN MOUSE;COD02ADMDBRIVER;COD02ADMDBRIVER
PC PORTATIL;EN USO;LENOVO;81YB;PF1TT6W6;12 GB;1 TB;N/A;N/A;DIE02ENEJARAIP1;DIE02ENEJARAIP1
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8300 SFF;MXL3031J26;4 GB;500 GB;CNC248P6CM;7CH848443GV;CAM14ADMMARMONTA;COD02ADMFRTREJO
PC ESCRITORIO;EN USO;HP;HP Z210 WORKSTATION;2UA2060V7B;8 GB;3 TB;3CQ145C512;NO LEGIBLE;CL1304ACUJIMARM;CL1304ACUJIMARM
PC ESCRITORIO;EN USO;HP;HP Z240 SFF WORKSTATION;2UA7501LSY;8 GB;500 GB ;CNC742055Y;SIN MOUSE;CAM05GENJAMONTA;BOU02GENYAMONTA
PC ESCRITORIO;EN USO;HP;HP Z210 WORKSTATION;2UA2060V7H;8 GB;2 TB;3CQ147BS5W;NO LEGIBLE;CL1304ACUCAMEN1;CL1304ACUCAMEN1
PC ESCRITORIO;EN USO;HP;HP ELITEDESK 800 G1 SFF;MXL4492LSZ;8 GB;500 GB;3CQ4382BP3;672652-001;COD01ADMCACORR1;COD01ADMCACORR1
PC ESCRITORIO;EN USO;HP;HP Z210 WORKSTATION;2UA3030FM6;8 GB;4 TB;CN424312LX;NO LEGIBLE;CL1304ACUSASTU;CL1304ACUSASTU
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL2050P5J;4 GB;500 GB;CN4205037F;NO LEGIBLE;CL1304ACUCAMENA;CL1304ACUCAMENA
PC PORTATIL;EN USO;HP;HP 245 G7 NOTEBOOK;5CG9461J4D;8 GB;500 GB;N/A;SIN MOUSE;COD02ADMSPPULP1;COD02ADMSPPULP1
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL2050G3Q;4 GB;500 GB;CN4305034G;SIN MOUSE;CL1302ACUALROJA;CL1304ACURALEMO
PC ESCRITORIO;EN USO;HP;HP XW6600 WORKSTATION;CZC8184FP8;2 GB;2 TB;CZK81400G2;NO LEGIBLE;TLC01ENELFVALEN;TLC01ENELFVALEN
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL126083C;4 GB;500 GB;3CQ04809NS;7CH8127SL2;COD01ADMADGOMEZ;COD01ACUADGOMEZ
